Questions,Question,Category,Technology,Topic,Sub Topic,Type of Question,Are Qs Same?
2nd highest age ,2nd highest age,Tech,N/A,Algorithms,Sorting and Selection,Code Based,
5 Diff in project ,5 Diff in project,HR,N/A,Project,N/A,Theoretical,
Strength and weakness ,Strength and weakness,HR,N/A,Personal Development,N/A,Theoretical,
Abstract ,Abstract,Tech,Java,Object-Oriented Programming,Abstract Classes,Theoretical,
Psvm(String args []) ,Psvm(String args []),Tech,Java,Java Main Method,Command Line Arguments,Theoretical,
Q-@Controller annotation,@Controller annotation,Tech,Spring Framework,Spring MVC,Controller Annotation,Theoretical,
Q2- Program to find no of duplicate entries in a string,Program to find the number of duplicate entries in a string,Tech,String Manipulation,Duplicate Entries,N/A,Code Based,
Journey of stackroute,Journey of stackroute,Non-Tech,N/A,Personal/Company Background,N/A,Theoretical,
2.About project,About project,Non-Tech,N/A,Project Overview,N/A,Theoretical,
3.Technology used in project,Technology used in the project,Tech,Various Technologies,Technology Stack,N/A,Theoretical,
4.explain Eurekaserver and y ? ,Explain Eurekaserver and why?,Tech,Spring Cloud,Microservices Architecture,Eurekaserver,Theoretical,
5.difference b/w Mongodb and Sql ?,Difference between MongoDB and SQL?,Tech,Databases,Database Management Systems,MongoDB vs SQL,Theoretical,
6.Explain Spring boot and why it is uded ?,Explain Spring Boot and why it is used?,Tech,"Java, Spring Boot",Frameworks,N/A,Theoretical,
7.Explain Angular?,Explain Angular?,Tech,"JavaScript, Angular",Frontend Framework,N/A,Theoretical,
8.Explain Docker?,Explain Docker?,Tech,Docker,Containerization,N/A,Theoretical,
9.Explain spring Annotation?,Explain Spring Annotation?,Tech,"Java, Spring Framework",Frameworks,Annotations,Theoretical,
10.design pattern which you known?,Design pattern which you know?,Tech,N/A,Design Patterns,N/A,Theoretical,
After COURSE what you learn new thing??,After COURSE what you learn new thing??,Non-Tech,N/A,Professional Development,N/A,Theoretical,
10.why Mongodb is written in Nosql?,Why MongoDB is written in NoSQL?,Tech,MongoDB,Database,NoSQL,Theoretical,
11.Explain the internall working of spring annotation?,Explain the internal working of Spring annotation?,Tech,Spring,Framework,Annotation,Theoretical,
"What is the output of Let a= ['4','7','2','5','1'] A.sort() ","What is the output of let a = ['4','7','2','5','1']; a.sort();?",Tech,JavaScript,Array Sorting,N/A,Code Based,
"Difference between const,var,let ","Difference between const, var, let?",Tech,JavaScript,Language Concepts,N/A,Theoretical,
3) What is the output of Console.log(a); Var a=10; Why answer is undefined? ,What is the output of console.log(a); var a=10;? Why is the answer undefined?,Tech,JavaScript,Variable Declaration,N/A,Code Based,
"?What is the output of 
Console.log(a); 
Let a=10; 
Why error is coming?  ",What is the output of console.log(a); let a=10;? Why is the error coming?,Tech,JavaScript,Variable Declaration,N/A,Code Based,
"5)What is the output of 
Var arr = [""india""] 
Arr.unshift(""japan"") 
Arr.unshift(""russia"",""america"") 
Why unshift is not a function error coming ","What is the output of var arr = [""india""]; arr.unshift(""japan""); arr.unshift(""russia"",""america"");? Why is the ""unshift is not a function"" error coming?",Tech,JavaScript,Array Manipulation,unshift,Code Based,
"6) let arr =[""itlay"",""japan"",""russia"",""India""] Insert china after japan ","Let arr = [""italy"", ""japan"", ""russia"", ""India""]; Insert China after Japan",Tech,Not Applicable,Array Manipulation,N/A,Code Based,
7)Arrays vs linklist ,Arrays vs linked lists,Tech,Data Structures,Arrays vs Linked Lists,N/A,Theoretical,
8)Inbuilt functions of arrays ,Inbuilt functions of arrays,Tech,Programming,Arrays,N/A,Theoretical,
9)diff between ngif and so ,Difference between ngif and ngshow,Tech,Angular,Angular Directives,N/A,Theoretical,
10) how to print country names array inside ul and li on html page ,How to print country names array inside ul and li on HTML page,Tech,"HTML, JavaScript",DOM Manipulation,N/A,Code Based,
Introduce yourself ,Introduce yourself,Non-Tech,N/A,N/A,N/A,N/A,
About capstone project ,About capstone project,Non-Tech,N/A,N/A,N/A,N/A,
What is Patch ,What is Patch,Tech,Web Development,HTTP Methods,PATCH,Theoretical,
Difference between put and post ,Difference between PUT and POST,Tech,Web Development,HTTP Methods,"PUT, POST",Theoretical,
Program on reverse a string ,Program on reverse a string,Tech,Programming,String Manipulation,N/A,Code Based,
Program on prime num ,Program on prime numbers,Tech,Programming,Number Theory,Prime Numbers,Code Based,
About javascript ,About JavaScript,Tech,JavaScript,Programming Language,N/A,Theoretical,
How to send text from one html file to another html file ,How to send text from one HTML file to another HTML file,Tech,"HTML, JavaScript",Web Development,Data Communication,Theoretical,
How to debug frontend ,How to debug frontend,Tech,Frontend Development,Debugging,N/A,Theoretical,
"How to check js , css, html code of any website. ","How to check JS, CSS, HTML code of any website",Tech,"JavaScript, CSS, HTML",Web Development,Code Inspection,Theoretical,
About method overloading and example ,About method overloading and example,Tech,Programming Language,Object-Oriented Programming,Method Overloading,Theoretical,
About method overriding and example ,About method overriding and example,Tech,Programming Language,Object-Oriented Programming,Method Overriding,Theoretical,
About Arraylist and linkedlist difference ,About ArrayList and LinkedList difference,Tech,Java,Data Structures,ArrayList vs LinkedList,Theoretical,
About Iterator and the syntax ,About Iterator and the syntax,Tech,Programming Language,Iterators,Iterator Syntax,Theoretical,
Arraylist syntax? ,ArrayList syntax,Tech,Java,Data Structures,ArrayList Syntax,Theoretical,
6.Told me to write a for loop to print numbers from 1-100 ,Told me to write a for loop to print numbers from 1-100,Tech,Programming Language,Control Structures,For Loop,Code Based,
Logic for even numbers? ,Logic for even numbers?,Tech,N/A,Programming Logic,N/A,Code Based,
Iterating the Arraylist (syntax) ,Iterating the ArrayList (syntax),Tech,Java,Collections,ArrayList,Code Based,
. Java oops concepts  ,Java OOPs concepts,Tech,Java,Object-Oriented,N/A,Theoretical,
Static variables and static keywords in java ,Static variables and static keywords in Java,Tech,Java,Statics in Java,N/A,Theoretical,
3.final keywords in java ,Final keywords in Java,Tech,Java,Keywords in Java,Final,Theoretical,
4.polymorphisms in java ,Polymorphism in Java,Tech,Java,Polymorphism,N/A,Theoretical,
5.what is abstraction? ,What is abstraction?,Tech,N/A,Software Development,Abstraction,Theoretical,
6.array based programming question ,Array-based programming question,Tech,N/A,Programming,Arrays,Code Based,
7.reverse of string in java? ,Reverse of string in Java?,Tech,Java,Strings,N/A,Code Based,
8.about mysql ,About MySQL,Tech,MySQL,Database Management,N/A,Theoretical,
9.why angular is a single page application? ,Why is Angular a single-page application?,Tech,Angular,Single-Page Application,N/A,Theoretical,
1)self introduction? ,Can you provide a self-introduction?,HR,N/A,N/A,N/A,N/A,
2) what are languages u know ,What programming languages do you know?,Tech,N/A,N/A,N/A,N/A,
3) do you have knowledge on testing ,Do you have knowledge of testing?,Tech,Testing,General Testing,N/A,Theoretical,
"4) in java,what is the method or code will write finding even or odd number. ","In Java, what method or code would you write to find even or odd numbers?",Tech,Java,Conditionals/Loops,N/A,Code Based,
5) what is sdlc model ,What is the SDLC model?,Tech,Software Development,SDLC,N/A,Theoretical,
6) what is stlc model ,What is the STLC model?,Tech,Software Testing,STLC,N/A,Theoretical,
7) what is waterfall model ,What is the Waterfall model?,Tech,Software Development,Waterfall Model,N/A,Theoretical,
8) what is selenium ,What is Selenium?,Tech,Selenium,Selenium,N/A,Theoretical,
9) what is agile.? ,What is agile?,Tech,N/A,Agile Methodology,N/A,Theoretical,
10) what is verification and validation ,What is verification and validation,Tech,Software Engineering,Software Testing,N/A,Theoretical,
11) how you will test and steps you will be taken explain with? example scenerio ,How will you test and explain the steps with an example scenario,Tech,Software Testing,Testing Strategies,N/A,Theoretical/Code,
What is responsive?  ,What is responsive?,Tech,Web Development,Responsive Web Design,N/A,Theoretical,
What is HTML5? ,What is HTML5?,Tech,Web Development,HTML5,N/A,Theoretical,
Types of javascript? ,Types of JavaScript?,Tech,Web Development,JavaScript,N/A,Theoretical,
Eureka services? ,Eureka services?,Tech,Microservices,Service Discovery,Eureka,Theoretical,
Bootstrap use aur not? And if not use how to work? ,"Bootstrap: use or not? And if not used, how to work?",Tech,Web Development,Bootstrap,N/A,Theoretical,
UI and UX difference. ,UI and UX difference?,Tech,Design,UI/UX Design,N/A,Theoretical,
Angular services. ,Angular services?,Tech,Web Development,Angular,Services,Theoretical,
Angular components. ,Angular components?,Tech,Web Development,Angular,Components,Theoretical,
How to connect components? ,How to connect components?,Tech,N/A,Software Development,N/A,Theoretical,
Tags and attributes difference in html. ,Tags and attributes difference in HTML.,Tech,HTML,Web Development,Tags and Attributes,Theoretical,
Types of java scripts. ,Types of JavaScript.,Tech,JavaScript,Programming Languages,N/A,Theoretical,
Null type and undefined type difference. ,Null type and undefined type difference.,Tech,JavaScript,Programming Languages,N/A,Theoretical,
Local and global variables in javascript. ,Local and global variables in JavaScript.,Tech,JavaScript,Programming Languages,Variables,Theoretical,
Types of CSS. ,Types of CSS.,Tech,CSS,Web Development,N/A,Theoretical,
UI and UX difference ,UI and UX difference.,Tech,N/A,Design,N/A,Theoretical,
Types of css : ,Types of CSS:,Tech,CSS,Web Development,N/A,Theoretical,
1.What is HTML5? ,1. What is HTML5?,Tech,HTML,Web Development,HTML5,Theoretical,
2.Tell some Newly Introduced Tag ,2. Tell some Newly Introduced Tag,Tech,HTML,Web Development,HTML5,Theoretical,
3.HTML full Form ,HTML full Form,Tech,HTML,Basics,N/A,Theoretical,
4.Grid System? ,Grid System,Tech,CSS,Layout,N/A,Theoretical,
5.Datatypes in javascript ,Datatypes in JavaScript,Tech,JavaScript,Basics,N/A,Theoretical,
6.what is class attribute ,What is class attribute,Tech,HTML/CSS/JavaScript,Web Development,N/A,Theoretical,
7.diff b/w float and double ,Diff b/w float and double,Tech,Programming Concepts,Data Types,N/A,Theoretical,
8.diff ui&ux ,Diff UI & UX,Tech,N/A,Design,N/A,Theoretical,
9.how to change background color ,How to change background color,Tech,CSS,Styling,N/A,Theoretical,
10.What is responsive ,What is responsive,Tech,Web Development,Design,Responsive Design,Theoretical,
11.Types of javascript ,Types of JavaScript,Tech,JavaScript,Basics,N/A,Theoretical,
12.Eureka services ,Eureka services,Tech,Microservices,Service Discovery,N/A,Theoretical,
13.null vs undifined ,null vs undefined,Tech,JavaScript,Programming Concepts,N/A,Theoretical,
14.advantage of javacript ,Advantage of JavaScript,Tech,JavaScript,Language Features,N/A,Theoretical,
Q.15display none vs visibility hidden? ,Display none vs visibility hidden,Tech,CSS,Styling,N/A,Theoretical,
1)Introduction ,Introduction,Non-Tech,N/A,General,N/A,Theoretical,
2)which you prefer javascript and typescript ,"Which do you prefer, JavaScript or TypeScript",Tech,N/A,General,N/A,Theoretical,
3)features of HTML5 ,Features of HTML5,Tech,HTML5,Web Development,N/A,Theoretical,
4)features OOPS ,Features of OOPs,Tech,Object-Oriented Programming,Programming Concepts,N/A,Theoretical,
5)Eureca Server ,Eureca Server,Tech,N/A,Server Technology,N/A,Theoretical,
6)UI and Ux Diffrance ,UI and UX Difference,Tech,N/A,Design,N/A,Theoretical,
7)prime no program ,Prime number program,Tech,Any programming language,Algorithms,Prime Numbers,Code Based,
8)program 1 to 20 prime number in array  ,Program to print 1 to 20 prime numbers in an array,Tech,N/A,Algorithms,Prime Numbers,Code Based,
9)about your project  ,About your project,Tech,N/A,Project Overview,N/A,Non-Tech,
10)what application use in your project ,What application did you use in your project,Tech,N/A,Project Tools,N/A,Non-Tech,
11)How to Connect 2 Html page  => using ancher tag and add link of that page  ,How to connect 2 HTML pages,Tech,HTML,Web Development,Linking,Code Based,
12)Polymorphisum ,Polymorphism,Tech,Object-Oriented Programming,Programming Concepts,Polymorphism,Theoretical,
13)Encapsulation ,Encapsulation,Tech,Object-Oriented Programming,Programming Concepts,Encapsulation,Theoretical,
14)Abstraction ,Abstraction,Tech,Object-Oriented Programming,Programming Concepts,Abstraction,Theoretical,
15)Inheritance ,Inheritance,Tech,Object-Oriented Programming,Programming Concepts,Inheritance,Theoretical,
16)Html tags  ,HTML tags,Tech,HTML,Web Development,HTML Tags,Theoretical,
Tell me about yourself,Tell me about yourself,HR,N/A,Personal,N/A,Non-Tech,
What is constructor and its type ?,What is constructor and its type?,Tech,Programming Concepts,Object-Oriented Programming,Constructors,Theoretical,
What is static keyword and constant keyword?,What is static keyword and constant keyword?,Tech,Programming Concepts,Keywords,Static and Constant,Theoretical,
Inheritance and abstraction?,Inheritance and abstraction?,Tech,Programming Concepts,Object-Oriented Programming,Inheritance and Abstraction,Theoretical,
About multiple inheritance.,About multiple inheritance.,Tech,Programming Concepts,Object-Oriented Programming,Multiple Inheritance,Theoretical,
Types of inheritance with explaination,Types of inheritance with explanation,Tech,Programming Concepts,Object-Oriented Programming,Inheritance,Theoretical,
Extends keyword,Extends keyword,Tech,Programming Concepts,Object-Oriented Programming,Inheritance,Theoretical,
"Array, arraylist difference with syntax ","Array, arraylist difference with syntax",Tech,Programming Concepts,Data Structures,Arrays and ArrayLists,Theoretical,
"Finally keyword, and how can we stop finally keyword to execute using which keyword?","Finally keyword, and how can we stop finally keyword",Tech,Programming Concepts,Exception Handling,Finally keyword,Theoretical,
Exception handling and its types?,Exception handling and its types?,Tech,Programming Concepts,Exception Handling,Types of Exceptions,Theoretical,
How can we access constructor of class B from class A?,How can we access constructor of class B from class A?,Tech,Programming Concepts,Object-Oriented Programming,Constructors,Theoretical/Code Based,
How to convert string to char? (using charat()),How to convert string to char? (using charat()),Tech,N/A,String Manipulation,N/A,Code Based,
Program whichever you know or you have learned?,Program whichever you know or you have learned?,Tech,N/A,Programming Concepts,N/A,Code Based,
Write a program to reverse string without using inbuilt methods,Write a program to reverse string without using inbuilt methods,Tech,N/A,String Manipulation,N/A,Code Based,
1.Different between overloading and covering ?,Different between overloading and covering ?,Tech,Java,Java Basics,N/A,Theoretical,
2 explain collection in java?,Explain collection in java?,Tech,Java,Java Collections,N/A,Theoretical,
3.explain oops concept in java?,Explain oops concept in java?,Tech,Java,Object-Oriented Programming,N/A,Theoretical,
4.explain static class?,Explain static class?,Tech,Java,Java Static Keyword,N/A,Theoretical,
5 .what is final key word explain?,What is final key word explain?,Tech,Java,Java Final Keyword,N/A,Theoretical,
6.explain primary key?,Explain primary key?,Tech,Database,Database Concepts,Primary Key,Theoretical,
7.explain why we use unique key?,Explain why we use unique key?,Tech,Database,Database Concepts,Unique Key,Theoretical,
8.explain access specified in java?,Explain access specifier in Java?,Tech,Java,Object-Oriented Programming (OOP),Access Specifiers,Theoretical,
9.what is static method explain?,What is a static method? Explain.,Tech,Java,Object-Oriented Programming (OOP),Static Method,Theoretical,
10.what is instance method explain?,What is an instance method? Explain.,Tech,Java,Object-Oriented Programming (OOP),Instance Method,Theoretical,
11.what is collection in java?,What is a collection in Java?,Tech,Java,Data Structures,Collections,Theoretical,
Oops concepts ,Explain OOPs concepts.,Tech,Java (OOP),Object-Oriented Programming (OOP),N/A,Theoretical,
Exception handling ,Explain exception handling in Java.,Tech,Java,Exception Handling,N/A,Theoretical,
Static key word ,What is the static keyword in Java?,Tech,Java,Object-Oriented Programming (OOP),Static Keyword,Theoretical,
Entity? ,What is an entity?,Tech,N/A,N/A,N/A,Theoretical,
Polymorphism? ,Explain polymorphism.,Tech,Java (OOP),Object-Oriented Programming (OOP),Polymorphism,Theoretical,
Overloading and overriding? ,Explain overloading and overriding.,Tech,Java (OOP),Object-Oriented Programming (OOP),Overloading/Overriding,Theoretical,
Threads? ,Threads,Tech,Java,Concurrency,N/A,Theoretical,
Collections in depth? ,Collections in depth,Tech,Java,Collections,N/A,Theoretical,
What is try and catch? ,What is try and catch,Tech,Programming,Exception Handling,N/A,Theoretical,
What is the use of final? ,What is the use of final,Tech,Java,Keywords,N/A,Theoretical,
Static? block? ,Static block,Tech,Java,Keywords,N/A,Theoretical,
Can we accept static method by using object? ,Can we accept static method by using object,Tech,Java,Methods,N/A,Theoretical,
Overloading and overriding? ,Overloading and overriding,Tech,Java,OOP,N/A,Theoretical,
Hashmap syntax ,Hashmap syntax,Tech,Java,Collections,HashMap,Theoretical,
Arraylist syntax ,Arraylist syntax,Tech,Java,Collections,ArrayList,Theoretical,
Exception? ,Exception,Tech,Programming,Exception Handling,N/A,Theoretical,
How many types? ,How many types,Tech,N/A,General Programming,N/A,Theoretical,
Whats checkd nd unchecked? ,Whats checked and unchecked,Tech,N/A,General Programming,N/A,Theoretical,
String reverse without? reverse ()? ,String reverse without reverse(),Tech,String Manipulation,Strings,N/A,Code Based,
Two classes? can be extend or not? ,Two classes can be extend or not,Tech,N/A,Object-Oriented,N/A,Theoretical,
How can get a method from super to sub class ,How can get a method from super to sub class,Tech,N/A,Inheritance,N/A,Theoretical,
Hash map ,Hash map,Tech,Data Structures,Collections,HashMap,Theoretical,
Can we accept global variable from static method ,Can we accept global variable from static method,Tech,N/A,Java Basics,N/A,Theoretical,
self-introduction. ,Self-introduction,HR,N/A,Personal,N/A,Theoretical,
1.what is a static keyword?  ,1. What is a static keyword?,Tech,N/A,Java Basics,N/A,Theoretical,
2.what is super and this keyword? ,2. What is super and this keyword?,Tech,N/A,Object-Oriented,N/A,Theoretical,
3.explain about oops concepts? ,3. Explain about OOPs concepts?,Tech,N/A,Object-Oriented Programming,N/A,Theoretical,
4.program on static keyword what is the output of that program? ,4. Program on static keyword. What is the output of that program?,Tech,Programming,Static Keyword,N/A,Code Based,
5.what is inheritance? ,5. What is inheritance?,Tech,N/A,Inheritance,N/A,Theoretical,
6.what are normal forms? (not answered) ,6. What are normal forms? (Not answered),Tech,Database,Database Design,Normal Forms,Theoretical,
7.importance of * in SQL? ,7. Importance of * in SQL?,Tech,SQL,Database Management,N/A,Theoretical,
8.what?are joins? Types of joins. (partially answered) ,8. What are joins? Types of joins. (Partially answered),Tech,SQL,Database Management,Joins,Theoretical,
9.what is a thread? ,9. What is a thread?,Tech,Programming,Multithreading,N/A,Theoretical,
10.what is synchronization? ,10. What is synchronization?,Tech,Programming,Multithreading,Synchronization,Theoretical,
11.what is an interface? ,11. What is an interface?,Tech,Programming,Object-Oriented Programming,Interfaces,Theoretical,
"1.static Keyword,method ","1. Static Keyword, method",Tech,Programming,"Static Keyword, Method",N/A,Theoretical,
"2.Exceptions-try,catch ,finally ","Exceptions - try, catch, finally",Tech,Programming Fundamentals,Error Handling,N/A,Theoretical/Code,
3.this keyword ,This keyword,Tech,Programming Languages,Object-Oriented Programming,N/A,Theoretical,
4.collections ,Collections,Tech,Java,Data Structures,N/A,Theoretical,
5.oops ,OOPs,Tech,N/A,Object-Oriented Programming,N/A,Theoretical,
6.Thread ,Thread,Tech,N/A,Concurrency,N/A,Theoretical,
1.what are constructors ,What are constructors?,Tech,N/A,Object-Oriented Programming,N/A,Theoretical,
2.Execption and it's types ,Exception and its types,Tech,Programming Fundamentals,Error Handling,N/A,Theoretical/Code,
3.immutable classes ,Immutable classes,Tech,Programming Languages,Object-Oriented Programming,N/A,Theoretical,
4.difference between this and super ,Difference between this and super,Tech,Programming Languages,Object-Oriented Programming,N/A,Theoretical,
5.difference between array and array list? ,Difference between array and array list,Tech,Java,Data Structures,"Arrays, ArrayList",Theoretical,
6.about linked list ,About linked list,Tech,Data Structures,Linked List,N/A,Theoretical,
7.what are terinary operators ,What are ternary operators,Tech,Programming,Operators,N/A,Theoretical,
8.polymorphism? and it's types ,Polymorphism and its types,Tech,Programming (OOP),Polymorphism,N/A,Theoretical,
9.Wap to find missing number in an array ,WAP to find missing number in an array,Tech,Programming,Array,N/A,Code Based,
10.Wap for string reverse ,WAP for string reverse,Tech,Programming,Strings,N/A,Code Based,
? OOPS concepts particularly about Inheritance and polymorphism ,OOPS concepts particularly about Inheritance and polymorphism,Tech,Programming (OOP),Object-Oriented Programming,"Inheritance, Polymorphism",Theoretical,
? Types of variables in java ,Types of variables in Java,Tech,Java,Variables,N/A,Theoretical,
"? Collections in java , difference between collection and collections ","Collections in Java, difference between Collection and Collections",Tech,Java,Collections Framework,"Collection, Collections",Theoretical,
? What is interface ,What is interface,Tech,Java,Interface,N/A,Theoretical,
"? What is JVM , how it is useful ",,,,,,,
? What is NEW keyword ,,,,,,,
? What is super class and sub class ,,,,,,,
. About academic projects ,,,,,,,
. Difference between interface and Abstraction ,,,,,,,
. How we show inheritance in a code ,,,,,,,
. What is object and a class ,,,,,,,
. When do we use static methods In java,,,,,,,
. When do we use new keyword in a code,,,,,,,
Oops concepts all ,,,,,,,
2.Static keywords ,,,,,,,
3.second largest number program? ,,,,,,,
4.abstract keyword ,,,,,,,
5.contructors ,,,,,,,
All in depth with examples and twisted questions . ,,,,,,,
Self introduction ,,,,,,,
"Subject questions, ",,,,,,,
What is a Constructor and its type  ,,,,,,,
What is Overloading and Overriding ,,,,,,,
3.Explain Inheritance and types ,,,,,,,
4.Diffence of this and super ,,,,,,,
5.Programe about Reverse String ,,,,,,,
These were the questions which I faced Sir. ,,,,,,,
1.How to define constructor ?and getters and setters for constructors ,,,,,,,
2.How to define class and variables ,,,,,,,
"3.syntax for while loop, for loop and switch case ",,,,,,,
4.what is method overloading and overriding ,,,,,,,
5.examples for overloading and overriding ,,,,,,,
What is method overloading  ,,,,,,,
Write program on employee class by using setter and getter methods ,,,,,,,
Write a program on switch statement ,,,,,,,
Tell me about your self ,,,,,,,
.introduction ,,,,,,,
2.Academic project explanation ,,,,,,,
3.inheritance how we use with examples ,,,,,,,
4.polymorphisum types and difference in complie and runtime in program ,,,,,,,
5.why mutiple inheritance is not their in java ,,,,,,,
6.sql join? ,,,,,,,
7.create a table? ,,,,,,,
8.primary key and foreign key ,,,,,,,
Object and class ,,,,,,,
Asked about my project ,,,,,,,
What is your role in project? ,,,,,,,
Why you used two db's ? ,,,,,,,
About spring frame work ,,,,,,,
Different layers in spring MVC. ,,,,,,,
Which layer interacts with db? ,,,,,,,
Where is configuration in spring frame work ,,,,,,,
About controller layer. ,,,,,,,
Db configuration ,,,,,,,
Regarding pom.xml file ,,,,,,,
Regarding collections ,,,,,,,
Trick question about joints in relational db ,,,,,,,
These are the following?questions asked to me ,,,,,,,
1.my previous company projects ,,,,,,,
2.method overloading vs method overriding ,,,,,,,
3.mongodb vs SQL? ,,,,,,,
4.interface ,,,,,,,
5.collections ,,,,,,,
Tell me about yourself.-done  ,,,,,,,
Worked on .NET? -no ,,,,,,,
Project explanation.-done ,,,,,,,
Sql query to show all project-done ,,,,,,,
Sql query to count member?in project- ,,,,,,,
"Ngcontroller(used in angularjs, not in angular so tell not worked on it. ",,,,,,,
Explain ngmodel- done ,,,,,,,
Explain data binding- done? ,,,,,,,
Chars and print them ;,,,,,,,
Should print in this format a->3 d->2;(did about 70%),,,,,,,
Difference module and component;( answered perfect for component but not well for module),,,,,,,
Difference b/w methodoverridinng & methodoverloading(perfect),,,,,,,
Spring and springboot(perfect),,,,,,,
Write a code in springboot to display hello world in html(60%),,,,,,,
What are the collections you used.,,,,,,,
If you creat your own programming language how you will make it object oriented.(answered well but not perfect),,,,,,,
Intro and about project,,,,,,,
About constructor,,,,,,,
What is abstract class,,,,,,,
What is primary key,,,,,,,
What is your fav subject in btech,,,,,,,
Asked question about fav subject that i didn't answered,,,,,,,
Why you shifted to software (iam from mech),,,,,,,
Where do you see yourself after 3 years,,,,,,,
Will you shift to mechaniacal again in future if you find it is good.,,,,,,,
What is a primary key?,,,,,,,
What is difference between list and set?,,,,,,,
What is springboot?,,,,,,,
How to display a particular column in sql query?,,,,,,,
What is insert query?,,,,,,,
CRUD operations?,,,,,,,
Queries,,,,,,,
Tell me about yourself ,,,,,,,
About the project,,,,,,,
Java Version used in project,,,,,,,
Difference between link and set,,,,,,,
Java script,,,,,,,
Component in angular,,,,,,,
Collections in java,,,,,,,
Mongodb,,,,,,,
Mysql(which is faster),,,,,,,
The Questions which I couldn’t answer,,,,,,,
2)What is JSON?,,,,,,,
3)How the data from mysql is accessed by angular?,,,,,,,
About project and contributions,,,,,,,
Hibernate with database ,,,,,,,
Spring framework,,,,,,,
My jukeboxproject,,,,,,,
"Select,insert,delete query",,,,,,,
Oops concepts,,,,,,,
Inheritance,,,,,,,
Multiple inheritance scenario based,,,,,,,
1] Tell me something about yourself.,,,,,,,
2] What are the basic OOPS concept?,,,,,,,
3] What is abstraction?,,,,,,,
4] What is Interface?,,,,,,,
5] How many microservices you have used in your project?,,,,,,,
6] What version of java you have used in java?,,,,,,,
7] What is component in angular?,,,,,,,
8] What is springboot?,,,,,,,
9] Tell me brief about your project?,,,,,,,
1] Can we declare variables in interface?,,,,,,,
2] What is version of angular you have youse?,,,,,,,
Q) Tell me about yourself ?,,,,,,,
Q) In My minor project of graduation I have explianed about ALPR systems he asked sevaral questions on my project like,,,,,,,
Q)What are Collections of Java8 ?,,,,,,,
Q)Difference between List and set?,,,,,,,
Q)What are the modules used in spring-boot (Different Dependencies in springboot)?,,,,,,,
Q)What is the use of Api-Gateway service?,,,,,,,
Q)What is your future goal?,,,,,,,
Q)If we provide u job on AI would you like to do it rather than software devolopment?,,,,,,,
Q)Is there anything you want to know?,,,,,,,
Tell me about yourself?,,,,,,,
2)Explain about your project?,,,,,,,
3)What is your contribution in your project?,,,,,,,
4)What is angular ?Why angular is a single page application?,,,,,,,
5)Advantages of Angular among other fornt end technologies?,,,,,,,
6)How to write valiadion for Email given in a input box?,,,,,,,
7)Two way binding in Angular?,,,,,,,
8)How can we send one valur from parent component to child component in angular?,,,,,,,
9)Scenario(An email is entered to login from the user that email needed to be used in various places how to store and store and send that email to another validations),,,,,,,
10)What is Logging?,,,,,,,
11)What is JWT token in Angular?,,,,,,,
12)What is abstract Class?,,,,,,,
13)Explain JWT token code?,,,,,,,
14)How can you configure the database in springboot Application?,,,,,,,
15)What is Autowiring and use of it?,,,,,,,
16)Scenario(How to write a query to fetch the data o f6 rows from a table having 12 rows in springboot)?,,,,,,,
1. He asked me about which database you have used ?  ,,,,,,,
2. Data structures,,,,,,,
3. Normalisation,,,,,,,
4. Implementation of stack & its example,,,,,,,
5. Do you have any skill which is different from other brach students,,,,,,,
6. He asked me about my elective subject of graduation (which i didn't aswered),,,,,,,
7. What you have choose kanban board web app why don't you choose other ?,,,,,,,
1) tell me about yourself  ,,,,,,,
2) stream,,,,,,,
"3)filter,map",,,,,,,
Map is a method that is used transforms the object from one form to another,,,,,,,
"4)list,set -",,,,,,,
List is ordered where set is bordered,,,,,,,
List allow duplicates where set dosent allow duplicates ,,,,,,,
Elements can be accessed by position but not in set,,,,,,,
5)validation ,,,,,,,
6)define bootstrap,,,,,,,
7)css types,,,,,,,
"8)mysql,mongodb",,,,,,,
9)how to create text box and give integer value,,,,,,,
10)map related question he gave some scenario ,,,,,,,
11)form validations,,,,,,,
12)collections and types,,,,,,,
13)what version of java u used,,,,,,,
Why java is power full,,,,,,,
Abration,,,,,,,
Polymorphism,,,,,,,
Mongodb,,,,,,,
Mysql,,,,,,,
Primary key and unique key,,,,,,,
Primary key and foreign key,,,,,,,
Overloading and overridding,,,,,,,
In automation where software are used in industry,,,,,,,
1)Tell me about yourself?,,,,,,,
2)Which version of java you are using?,,,,,,,
3)what is streams in java (Explaination needed on the given scenario)?,,,,,,,
4)Difference between mongodb and my sql.which one do you prefer to use and why?,,,,,,,
5)What is inheritance with real life Example?,,,,,,,
6)can we have two parents for one child in inheritance?,,,,,,,
7)Validations in HTML?,,,,,,,
8)Types of Events in HTML?,,,,,,,
9)Tell something about bootstrap?,,,,,,,
10)Explain css and its types.Which type is better to use and why?,,,,,,,
1. Introduce yourself ,,,,,,,
2. Tell me about your academic project,,,,,,,
3. Explain the project,,,,,,,
4. What are the technology you used,,,,,,,
5. What is mvc,,,,,,,
6. Sql queries,,,,,,,
7. What is singleton.,,,,,,,
8. She asked question from OOPS,,,,,,,
9. Given some scenarios on the basis,,,,,,,
10. Write a code on reverse a string.,,,,,,,
1- tell me about yourself.,,,,,,,
2- Asked about the project (many questions from the project).,,,,,,,
3- mongodb and my SQL diff.,,,,,,,
